Country_ISO,Slope,Intercept,R2,P_value,class
COD,1.3617878427317896e-06,0.00012762883943603437,0.5331025768618002,0.00011451416356701358,bvmeat
COG,2.137139291747118e-06,3.46377936050092e-05,0.592484927241742,2.80782064506319e-05,bvmeat
COK,,,,,bvmeat
COL,5.819475210542855e-06,0.002430513284296554,0.05883032452223306,0.27677412371006266,bvmeat
COM,2.1567012988160794e-05,0.00806773506959356,0.036331436752182845,0.3955059679036771,bvmeat
CPV,5.290283649176764e-05,0.0031334276925557266,0.4556752101454577,0.0005676148515903149,bvmeat
CRI,0.00015356917378615007,0.007271203629624742,0.7852682188637091,4.094478277241841e-08,bvmeat
CUB,1.0316035606310166e-05,0.003200079813467103,0.030923673000661036,0.4337451827074501,bvmeat
CYP,-0.03985048953780453,1.3239245300444638,0.4698091497818572,0.00043075327824301524,bvmeat
CZE,-0.0002057962007863923,0.018941456390355157,0.5242302533333226,0.00013922670279721032,bvmeat
DEU,-0.0004130106960592524,0.03361677327470178,0.5978094175372796,2.4522837767198865e-05,bvmeat
DJI,2.398457514862563e-06,0.0004881279331254066,0.07444804146183538,0.21923648352906444,bvmeat
DMA,-0.00031074167262803136,0.03449488967334753,0.1744332328201808,0.05310489532595177,bvmeat
DNK,-0.0002398974235207527,0.040356171885357214,0.02527217580308324,0.4797935010078199,bvmeat
DOM,4.789421466250729e-05,0.007580528718421538,0.04879467740488791,0.32320856197809605,bvmeat
DZA,3.473408072151807e-05,0.000745947426598574,0.9077050738208147,8.256914606866144e-12,bvmeat
ECU,0.00027844919431398434,0.004205421953602564,0.9043966253954323,1.1762150860530533e-11,bvmeat
EGY,,,,,bvmeat
ERI,7.847248046167932e-06,0.00036394421558580935,0.7652444622934518,1.0101387473238992e-07,bvmeat
ESP,5.75453440865433e-05,0.007905482333856016,0.4014724961224675,0.0015457861444576585,bvmeat
EST,-0.00024386710423286031,0.010636407515933342,0.16175183636737697,0.06351928841201668,bvmeat
ETH,5.4000032083305134e-05,0.0019918637455068507,0.7806593195273333,5.076504913666742e-08,bvmeat
FIN,-0.007304300418308908,0.12570354856694357,0.13919637469441287,0.08723197931239615,bvmeat
FJI,-4.461383840897968e-05,0.0025498231942299044,0.29073653819973816,0.00960943635038416,bvmeat
FRA,-5.2083837099796174e-05,0.018306876702005127,0.09949535396703282,0.15273439652653642,bvmeat
FRO,1.3909643997311916e-05,0.00035599450304387033,0.6871900276440139,1.8692465549322279e-06,bvmeat
FSM,9.038277991124737e-06,0.007631577017177539,0.05350612196565418,0.30031430777722407,bvmeat
GAB,-7.055642198323544e-07,0.00013298659535713518,0.19448292217499755,0.03993577714573638,bvmeat
GBR,8.881436892937676e-05,0.010666774050385599,0.6056396372559116,2.0032560754428362e-05,bvmeat
GEO,-0.00010047746241239724,0.0037293756871247755,0.7386799608578748,2.99744629940689e-07,bvmeat
GHA,3.4142845346099896e-05,0.0003985954808500193,0.9447061866476029,4.8302220729221264e-14,bvmeat
GIN,3.364234616104738e-05,0.00034713768795976166,0.8559927889255816,7.250039156096039e-10,bvmeat
GLP,-0.0001606076662932142,0.014437453223269114,0.41042604731326143,0.12108630315979006,bvmeat
GMB,-3.4596411087152527e-06,0.0026644365409038053,0.0034221777036192924,0.7959507718138076,bvmeat
GNB,5.647052499857369e-06,0.003492177796508289,0.005990231356261577,0.7320905773166577,bvmeat
GNQ,-5.412469711249794e-05,0.002133586784654646,0.28543603514282845,0.010426958985566726,bvmeat
GRC,4.875396728676679e-06,0.004897109273902586,0.007174238162260599,0.7078339307204927,bvmeat
GRD,0.0010422579021850983,0.012486813169191889,0.9375605163536757,1.6341283817948288e-13,bvmeat
GTM,0.0005908157787815402,0.0013528264963058867,0.9386011376990759,1.3806339024770513e-13,bvmeat
GUF,-0.0002441277992278071,0.00485876486486485,0.4323785479494278,0.10844972480256458,bvmeat
GUY,1.469332516401135e-05,0.0004662316604987037,0.8125607689451985,1.0356785930496438e-08,bvmeat
HKG,-0.03230326059212346,1.0359139555589807,0.5310359379962296,0.00011988376151156785,bvmeat
HND,-2.071119105439294e-05,0.004601494817730275,0.18767125974982224,0.04400930015217143,bvmeat
